Gene stable ID	Karyotype band	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	HGNC symbol
ENSG00000110400	q23.3	11	119623408	119729200	NECTIN1
ENSG00000172638	q13.1	11	65866441	65873592	EFEMP2
ENSG00000187398	p14.3	11	24496970	25082638	LUZP2
ENSG00000172732	q13.1	11	65857126	65867653	MUS81
ENSG00000214782	q12.2	11	60729304	60744212	MS4A18
ENSG00000110497	p11.2	11	46396414	46594125	AMBRA1
ENSG00000205531	p15.4	11	2944431	2992377	NAP1L4
ENSG00000175567	q13.4	11	73974672	73983246	UCP2
ENSG00000244734	p15.4	11	5225464	5229395	HBB
ENSG00000019485	p11.2	11	45095806	45235110	PRDM11
ENSG00000223609	p15.4	11	5232678	5243657	HBD
ENSG00000019505	p11.2	11	45240302	45286341	SYT13
ENSG00000135378	p13	11	32829927	32858120	PRRG4
ENSG00000060749	p13	11	32892820	32993316	QSER1
ENSG00000175224	p11.2	11	46617527	46674818	ATG13
ENSG00000133884	q13.1	11	65333852	65354262	DPF2
ENSG00000166961	q12.2	11	60756867	60776733	MS4A15
ENSG00000173825	q13.1	11	65354751	65357613	TIGD3
ENSG00000162241	q13.1	11	65375192	65383701	SLC25A45
ENSG00000172689	q12.2	11	60785333	60801305	MS4A10
ENSG00000180423	p11.2	11	46602861	46617909	HARBI1
ENSG00000110104	q12.2	11	60842113	60851081	CCDC86
ENSG00000183134	q12.2	11	60850933	60855950	PTGDR2
ENSG00000181074	p15.4	11	5754243	5755905	OR52N4
ENSG00000181009	p15.4	11	5776165	5783355	OR52N5
ENSG00000175518	p15.4	11	5514393	5516699	UBQLNL
ENSG00000180988	p15.4	11	5820314	5821348	OR52N2
ENSG00000183251	p15.4	11	5301014	5301946	OR51B4
ENSG00000213931	p15.4	11	5268345	5505652	HBE1
ENSG00000187747	p15.4	11	5580877	5581884	OR52B6
ENSG00000213934	p15.4	11	5248079	5249859	HBG1
ENSG00000181001	p15.4	11	5786471	5791265	OR52N1
ENSG00000187918	p15.4	11	5449323	5456518	OR51I2
ENSG00000176239	p15.4	11	5351508	5352446	OR51B6
ENSG00000258588	p15.4	11	5596725	5644398	TRIM6-TRIM34
ENSG00000132274	p15.4	11	5689697	5737089	TRIM22
ENSG00000149506	q12.2	11	60867562	60875693	ZP1
ENSG00000175520	p15.4	11	5507300	5509958	UBQLN3
ENSG00000258659	p15.4	11	5619764	5644398	TRIM34
ENSG00000184698	p15.4	11	5383812	5393263	OR51M1
ENSG00000183269	p15.4	11	5856674	5857734	OR52E8
ENSG00000167359	p15.4	11	5440570	5441514	OR51I1
ENSG00000167360	p15.4	11	5422111	5423206	OR51Q1
ENSG00000196565	p15.4	11	5253188	5505605	HBG2
ENSG00000121690	p13	11	33015876	33033582	DEPDC7
ENSG00000205409	p15.4	11	5840928	5841952	OR52E6
ENSG00000121236	p15.4	11	5596109	5612958	TRIM6
ENSG00000134333	p15.1	11	18394560	18408425	LDHA
ENSG00000175264	p11.2	11	45647689	45665622	CHST1
ENSG00000134343	p14.3	11	26188842	26663289	ANO3
ENSG00000181023	p15.4	11	5736448	5738523	OR56B1
ENSG00000180974	p15.4	11	5880629	5887079	OR52E4
ENSG00000279012	p15.4	11	5323359	5324297	OR51B2
ENSG00000132256	p15.4	11	5663195	5938619	TRIM5
ENSG00000169550	p14.2	11	26559032	26572263	MUC15
ENSG00000137699	q23.3	11	120111286	120185529	TRIM29
ENSG00000186907	q12.1	11	57460528	57477534	RTN4RL2
ENSG00000167355	p15.4	11	5303444	5505652	OR51B5
ENSG00000181609	p15.4	11	5488685	5489749	OR52D1
ENSG00000181616	p15.4	11	5544489	5548533	OR52H1
ENSG00000277932	p15.4	11	5893208	5902730	OR52E5
ENSG00000214414	q14.3	11	89710299	89717872	TRIM77
ENSG00000118363	q13.4	11	74949247	74979033	SPCS2
ENSG00000168930	q14.3	11	89797655	89808575	TRIM49
ENSG00000110107	q12.2	11	60890547	60906585	PRPF19
ENSG00000196666	p11.2	11	47586693	47589194	FAM180B
ENSG00000172247	p11.2	11	47589667	47594411	C1QTNF4
ENSG00000129083	p15.2	11	14443440	14500027	COPB1
ENSG00000162139	q13.4	11	74988279	75018893	NEU3
ENSG00000184232	q23.3	11	120211032	120230334	OAF
ENSG00000110108	q12.2	11	60914158	60923443	TMEM109
ENSG00000110446	q12.2	11	60937084	60952530	SLC15A3
ENSG00000006118	q12.2	11	60924463	60937159	TMEM132A
ENSG00000262406	q22.2	11	102862736	102874982	MMP12
ENSG00000129084	p15.2	11	14504874	14643635	PSMA1
ENSG00000176148	p13	11	33039417	33105943	TCP11L1
ENSG00000171561	q13.4	11	75081753	75096876	OR2AT4
ENSG00000176102	p13	11	33077188	33162371	CSTF3
ENSG00000149150	q12.1	11	57484534	57515780	SLC43A1
ENSG00000134809	q12.1	11	57528464	57530803	TIMM10
ENSG00000214872	q12.1	11	57542641	57550274	SMTNL1
ENSG00000137709	q23.3	11	120236640	120319945	POU2F3
ENSG00000175564	q13.4	11	74000277	74009085	UCP3
ENSG00000137745	q22.2	11	102942995	102955732	MMP13
ENSG00000261594	q13.4	11	75240774	75243704	TPBGL
ENSG00000137491	q13.4	11	75100563	75206549	SLCO2B1
ENSG00000007372	p13	11	31784779	31817961	PAX6
ENSG00000109919	p11.2	11	47617315	47642607	MTCH2
ENSG00000189253	q14.3	11	89869282	89876017	TRIM64B
ENSG00000126391	q13.1	11	65386621	65413525	FRMD8
ENSG00000223417	q14.3	11	89911111	89921767	TRIM49D1
ENSG00000233802	q14.3	11	89924064	89933063	TRIM49D2
ENSG00000204450	q14.3	11	89968502	89974072	TRIM64
ENSG00000204449	q14.3	11	90031106	90042025	TRIM49C
ENSG00000214517	q13.4	11	74171267	74254703	PPME1
ENSG00000137692	q22.3	11	103050686	103092194	DCUN1D5
ENSG00000255009	q14.3	11	90085950	90087131	UBTFL1
ENSG00000149380	q13.4	11	74235801	74311640	P4HA3
ENSG00000181830	p11.2	11	45804072	45813015	SLC35C1
ENSG00000168014	q13.4	11	74012714	74171210	C2CD3
ENSG00000175634	q13.2	11	67428460	67435401	RPS6KB2
ENSG00000087365	q13.1	11	66050729	66069308	SF3B2
ENSG00000173237	q13.2	11	66975277	66977004	C11orf86
ENSG00000165923	p11.2	11	47659591	47715389	AGBL2
ENSG00000166796	p15.1	11	18412318	18452063	LDHC
ENSG00000049449	p13	11	32090904	32105755	RCN1
ENSG00000109911	p13	11	31509755	31790324	ELP4
ENSG00000172725	q13.2	11	67435510	67443821	CORO1B
ENSG00000077616	q14.3	11	90131515	90192894	NAALAD2
ENSG00000121671	p11.2	11	45847118	45883248	CRY2
ENSG00000213402	q13.2	11	67435510	67437682	PTPRCAP
ENSG00000173227	q13.2	11	67006778	67050863	SYT12
ENSG00000109920	p11.2	11	47716494	47767443	FNBP4
ENSG00000121653	p11.2	11	45885651	45906465	MAPK8IP1
ENSG00000173156	q13.2	11	67056847	67072017	RHOD
ENSG00000149256	q14.1	11	78652829	79441030	TENM4
ENSG00000204381	q23.1	11	111540280	111561745	LAYN
ENSG00000170145	q23.1	11	111602449	111730855	SIK2
ENSG00000137713	q23.1	11	111726908	111766389	PPP2R1B
ENSG00000234776	p11.2	11	45906513	45907272	C11orf94
ENSG00000182103	q14.1	11	82729940	82733864	FAM181B
ENSG00000165434	q13.4	11	74330316	74398433	PGM2L1
ENSG00000175538	q13.4	11	74454841	74467729	KCNE3
ENSG00000175220	p11.2	11	46677080	46700619	ARHGAP1
ENSG00000121680	p11.2	11	45909663	45918812	PEX16
ENSG00000175544	q13.2	11	67452406	67460313	CABP4
ENSG00000172663	q13.2	11	67461710	67469272	TMEM134
ENSG00000175213	p11.2	11	46701030	46705912	ZNF408
ENSG00000175514	q13.2	11	67451301	67452729	GPR152
ENSG00000180210	p11.2	11	46719180	46739506	F2
ENSG00000110422	p13	11	33256672	33357023	HIPK3
ENSG00000077514	q13.4	11	74493851	74669117	POLD3
ENSG00000175536	q13.4	11	74490519	74493724	LIPT2
ENSG00000137747	q23.3	11	117900641	117929459	TMPRSS13
ENSG00000110427	p13	11	33376083	33674102	KIAA1549L
ENSG00000181264	q23.3	11	120325129	120333682	TLCD5
ENSG00000166452	p15.4	11	8911139	8920084	AKIP1
ENSG00000165905	p11.2	11	45921621	45929096	LARGE2
ENSG00000176029	p15.4	11	8920076	8933006	C11orf16
ENSG00000142186	q13.1	11	65525077	65538704	SCYL1
ENSG00000085063	p13	11	33703010	33736491	CD59
ENSG00000152270	p15.2	11	14643804	14872044	PDE3B
ENSG00000284969	p13	11	33698261	33722467	
ENSG00000205177	p13	11	33698261	33700801	C11orf91
ENSG00000154134	q24.2	11	124865432	124881471	ROBO3
ENSG00000187240	q22.3	11	103109410	103479863	DYNC2H1
ENSG00000168056	q13.1	11	65538805	65558930	LTBP3
ENSG00000186104	p15.2	11	14877440	14892252	CYP2R1
ENSG00000175216	p11.2	11	46743048	46846308	CKAP5
ENSG00000110324	q23.3	11	117986348	118003037	IL10RA
ENSG00000110680	p15.2	11	14966668	14972354	CALCA
ENSG00000175868	p15.2	11	14904997	15082342	CALCB
ENSG00000137486	q13.4	11	75260122	75351705	ARRB1
ENSG00000165916	p11.2	11	47418769	47426473	PSMC3
ENSG00000175348	p15.4	11	8947202	8965011	TMEM9B
ENSG00000255274	q23.3	11	118003634	118088299	SMIM35
ENSG00000137648	q23.3	11	118077012	118121890	TMPRSS4
ENSG00000134569	p11.2	11	46856717	46918642	LRP4
ENSG00000013725	q12.2	11	60971680	61020377	CD6
ENSG00000173120	q13.2	11	67119263	67258082	KDM2A
ENSG00000214376	q21	11	93818232	93850618	VSTM5
ENSG00000248746	q13.2	11	66546395	66563334	ACTN3
ENSG00000175352	p15.4	11	8980576	9004049	NRIP3
ENSG00000181333	q21	11	94021354	94114208	HEPHL1
ENSG00000175356	p15.4	11	9019498	9138114	SCUBE2
ENSG00000135365	p11.2	11	45929323	46121178	PHF21A
ENSG00000030066	p11.2	11	47778087	47848555	NUP160
ENSG00000110218	q21	11	94128841	94181968	PANX1
ENSG00000183560	q21	11	94305592	94307721	IZUMO1R
ENSG00000123901	q21	11	94377316	94401419	GPR83
ENSG00000110448	q12.2	11	61102489	61127852	CD5
ENSG00000167987	q12.2	11	61130257	61161615	VPS37C
ENSG00000229859	q12.2	11	61203307	61213098	PGA3
ENSG00000229183	q12.2	11	61222216	61231927	PGA4
ENSG00000256713	q12.2	11	61241042	61251448	PGA5
ENSG00000095110	q23.2	11	114521645	114559895	NXPE1
ENSG00000137634	q23.2	11	114570591	114595786	NXPE4
ENSG00000175115	q13.1	11	66070272	66244744	PACS1
ENSG00000149182	p11.2	11	47164299	47177125	ARFGAP2
ENSG00000154133	q24.2	11	124883691	124898500	ROBO4
ENSG00000204361	q23.3	11	114678527	114707069	NXPE2
ENSG00000149179	p11.2	11	46936689	47164385	C11orf49
ENSG00000149177	p11.2	11	47980558	48170841	PTPRJ
ENSG00000175619	p11.2	11	48216810	48217739	OR4B1
ENSG00000172208	p11.2	11	48245056	48246080	OR4X2
ENSG00000176567	p11.2	11	48263861	48264778	OR4X1
ENSG00000176555	p11.2	11	48306223	48307152	OR4S1
ENSG00000176540	p11.2	11	48365485	48366465	OR4C5
ENSG00000176547	p11.2	11	48324920	48328471	OR4C3
ENSG00000157613	p11.2	11	46277662	46321409	CREB3L1
ENSG00000054938	q13.4	11	74696429	74731385	CHRDL2
ENSG00000182985	q23.3	11	115169218	115504957	CADM1
ENSG00000184478	p15.4	11	5938751	5951347	OR56A3
ENSG00000188691	p15.4	11	5967177	5968494	OR56A5
ENSG00000183389	p15.4	11	5999445	6006946	OR56A4
ENSG00000170962	q22.3	11	103907189	104164379	PDGFD
ENSG00000020922	q21	11	94415578	94493908	MRE11
ENSG00000170967	q22.3	11	104036640	104039196	DDI1
ENSG00000180934	p15.4	11	6019336	6034338	OR56A1
ENSG00000255561	q23.1	11	111874056	111881243	FDXACB1
ENSG00000149273	q13.4	11	75399515	75422280	RPS3
ENSG00000137720	q23.1	11	111878935	111885975	C11orf1
ENSG00000110172	q14.3	11	90200429	90223077	CHORDC1
ENSG00000086848	q23.1	11	111782195	111871581	ALG9
ENSG00000188487	p15.2	11	15112424	15247208	INSC
ENSG00000177098	q23.3	11	118133377	118152888	SCN4B
ENSG00000166439	q13.4	11	74748849	74842413	RNF169
ENSG00000166435	q13.4	11	74807739	74949200	XRRA1
ENSG00000165490	q14.1	11	82899975	82958277	DDIAS
ENSG00000137509	q14.1	11	82822936	82970584	PRCP
ENSG00000110711	q13.2	11	67483026	67491103	AIP
ENSG00000149575	q23.3	11	118157849	118176639	SCN2B
ENSG00000137502	q14.1	11	82973133	83071923	RAB30
ENSG00000221932	q24.2	11	124919244	124920677	HEPN1
ENSG00000165478	q24.2	11	124919205	124936412	HEPACAM
ENSG00000137656	q23.3	11	116748170	116772987	BUD13
ENSG00000168876	q21	11	94493979	94499578	ANKRD49
ENSG00000257057	q21	11	94512461	94532123	C11orf97
ENSG00000165323	q14.3	11	92352096	92896470	FAT3
ENSG00000109917	q23.3	11	116773799	116788039	ZPR1
ENSG00000149548	q24.2	11	124954121	125041489	CCDC15
ENSG00000166025	q21	11	94706431	94876748	AMOTL1
ENSG00000134627	q21	11	94543840	94621421	PIWIL4
ENSG00000237388	p11.2	11	48488717	48489780	OR4A47
ENSG00000196371	q21	11	94543840	94549898	FUT4
ENSG00000134955	q24.2	11	125063067	125090312	SLC37A2
ENSG00000134640	q14.3	11	92969720	92985066	MTNR1B
ENSG00000149243	q13.4	11	75422394	75430629	KLHL35
ENSG00000180773	q21	11	93144174	93197991	SLC36A4
ENSG00000165912	p11.2	11	47177522	47186443	PACSIN3
ENSG00000204403	q22.3	11	104885718	104898670	CASP12
ENSG00000173465	q13.1	11	65570460	65573942	ZNRD2
ENSG00000176973	q13.1	11	65572349	65574198	FAM89B
ENSG00000150433	q24.2	11	125096545	125111763	TMEM218
ENSG00000110619	p15.4	11	3000922	3057613	CARS
ENSG00000110697	q13.2	11	67491768	67506263	PITPNM1
ENSG00000196954	q22.3	11	104942866	104969366	CASP4
ENSG00000160593	q23.3	11	118193725	118225094	JAML
ENSG00000220948	p11.12	11	48975324	48983826	TRIM51GP
ENSG00000158555	q13.5	11	75434640	75525941	GDPD5
ENSG00000167797	q13.2	11	67506497	67508649	CDK2AP2
ENSG00000150316	q21	11	94962620	94973586	CWC15
ENSG00000110243	q23.3	11	116789367	116792420	APOA5
ENSG00000167791	q13.2	11	67518912	67524517	CABP2
ENSG00000186280	q21	11	94973709	94999519	KDM4D
ENSG00000084207	q13.2	11	67583595	67586656	GSTP1
ENSG00000167792	q13.2	11	67605653	67612554	NDUFV1
ENSG00000173442	q13.1	11	65576046	65592650	EHBP1L1
ENSG00000235268	q21	11	95025258	95027596	KDM4E
ENSG00000255855	q21	11	95049422	95051338	KDM4F
ENSG00000263465	q21	11	95067197	95071224	SRSF8
ENSG00000149218	q21	11	95089846	95132645	ENDOD1
ENSG00000110245	q23.3	11	116829706	116833072	APOC3
ENSG00000160588	q23.3	11	118226690	118252365	MPZL3
ENSG00000149212	q21	11	95165513	95232541	SESN3
ENSG00000182053	p11.12	11	49027501	49038451	TRIM49B
ENSG00000149573	q23.3	11	118253416	118264536	MPZL2
ENSG00000214891	p11.12	11	49053714	49059112	TRIM64C
ENSG00000165325	q21	11	93329971	93438487	DEUP1
ENSG00000173338	q13.1	11	65592855	65595996	KCNK7
ENSG00000166002	q21	11	93478472	93543391	SMCO4
ENSG00000118137	q23.3	11	116835751	116837950	APOA1
ENSG00000160584	q23.3	11	116843402	117098437	SIK3
ENSG00000165495	q24.2	11	125164687	125433389	PKNOX2
ENSG00000198851	q23.3	11	118304545	118316175	CD3E
ENSG00000173327	q13.1	11	65597756	65615382	MAP3K11
ENSG00000021762	p15.4	11	3087107	3166739	OSBPL5
ENSG00000149257	q13.5	11	75562056	75572783	SERPINH1
ENSG00000086205	p11.12	11	49145092	49208638	FOLH1
ENSG00000197136	q13.1	11	65615773	65637439	PCNX3
ENSG00000149554	q24.2	11	125625665	125676255	CHEK1
ENSG00000137494	q14.1	11	83193712	83260694	ANKRD42
ENSG00000149557	q24.2	11	125442881	125592568	FEZ1
ENSG00000165494	q14.1	11	83156988	83187451	PCF11
ENSG00000134910	q24.2	11	125591712	125625215	STT3A
ENSG00000137500	q14.1	11	83259097	83286407	CCDC90B
ENSG00000149547	q24.2	11	125569280	125584684	EI24
ENSG00000166037	q21	11	95789965	95832693	CEP57
ENSG00000167286	q23.3	11	118338954	118342744	CD3D
ENSG00000077458	q21	11	95768953	95790409	FAM76B
ENSG00000167799	q13.2	11	67627938	67629937	NUDT8
ENSG00000167800	q13.2	11	67631303	67639560	TBX10
ENSG00000134940	q24.2	11	125671522	125680874	ACRV1
ENSG00000132744	q13.2	11	67642555	67650730	ACY3
ENSG00000171533	q13.5	11	75586918	75669120	MAP6
ENSG00000166391	q13.5	11	75717838	75732958	MOGAT2
ENSG00000137757	q22.3	11	104994235	105023168	CASP5
ENSG00000182170	p15.4	11	3217944	3218813	MRGPRG
ENSG00000184350	p15.4	11	3225030	3232417	MRGPRE
ENSG00000170276	q23.1	11	111912734	111914093	HSPB2
ENSG00000254445	q23.1	11	111912736	111926871	HSPB2-C11orf52
ENSG00000149300	q23.1	11	111918032	111926871	C11orf52
ENSG00000160654	q23.3	11	118344344	118355161	CD3G
ENSG00000109846	q23.1	11	111908564	111923722	CRYAB
ENSG00000005801	p15.4	11	3339261	3379222	ZNF195
ENSG00000110429	p13	11	33740939	33774543	FBXO3
ENSG00000150764	q23.1	11	111927144	112022653	DIXDC1
ENSG00000149091	p11.2	11	46332905	46380554	DGKZ
ENSG00000174996	q13.2	11	66257294	66267860	KLC2
ENSG00000137752	q22.3	11	105025443	105035250	CASP1
ENSG00000173020	q13.2	11	67266473	67286556	GRK2
ENSG00000135363	p13	11	33858576	33892076	LMO2
ENSG00000135387	p13	11	34051731	34102610	CAPRIN1
ENSG00000062282	q13.5	11	75759512	75801535	DGAT2
ENSG00000150773	q23.1	11	112064010	112074274	PIH1D2
ENSG00000150779	q23.1	11	112084800	112086798	TIMM8B
ENSG00000150776	q23.1	11	112074086	112085150	NKAPD1
ENSG00000150768	q23.1	11	112024814	112064390	DLAT
ENSG00000087053	q21	11	95832882	95925315	MTMR2
ENSG00000198382	q13.5	11	75815210	76144232	UVRAG
ENSG00000095139	q23.3	11	118572390	118603033	ARCN1
ENSG00000167283	q23.3	11	118401606	118431496	ATP5MG
ENSG00000172425	q23.3	11	118527472	118531197	TTC36
ENSG00000110344	q23.3	11	118359585	118399211	UBE4A
ENSG00000118096	q23.3	11	118544528	118572970	IFT46
ENSG00000255221	q22.3	11	105092469	105101431	CARD17
ENSG00000204397	q22.3	11	105041326	105101431	CARD16
ENSG00000149582	q23.3	11	118531041	118547280	TMEM25
ENSG00000042429	q21	11	93784227	93814963	MED17
ENSG00000168092	q23.3	11	117144284	117176894	PAFAH1B2
ENSG00000118058	q23.3	11	118436490	118526832	KMT2A
ENSG00000182919	q21	11	93741591	93764749	C11orf54
ENSG00000166004	q21	11	93661682	93730358	CEP295
ENSG00000166012	q21	11	93729948	93784391	TAF1D
ENSG00000255501	q22.3	11	105137714	105531697	CARD18
ENSG00000184384	q21	11	95976598	96343195	MAML2
ENSG00000174903	q13.2	11	66268590	66277492	RAB1B
ENSG00000174871	q13.2	11	66278175	66285301	CNIH2
ENSG00000174851	q13.2	11	66284580	66289145	YIF1A
ENSG00000085741	q13.5	11	76186325	76210736	WNT11
ENSG00000165917	p11.2	11	47437764	47449143	RAPSN
ENSG00000150782	q23.1	11	112143253	112164096	IL18
ENSG00000204370	q23.1	11	112086824	112120016	SDHD
ENSG00000150783	q23.1	11	112167372	112172556	TEX12
ENSG00000197580	q23.1	11	112175510	112224699	BCO2
ENSG00000152578	q22.3	11	105609994	105982092	GRIA4
ENSG00000170903	q22.3	11	105995623	106022403	MSANTD4
ENSG00000149313	q22.3	11	106075501	106098699	AASDHPPT
ENSG00000182359	q22.3	11	106051098	106077459	KBTBD3
ENSG00000135372	p13	11	34105617	34147670	NAT10
ENSG00000152402	q22.3	11	106674012	107018524	GUCY1A2
ENSG00000166016	p13	11	34150987	34358010	ABTB2
ENSG00000152404	q22.3	11	107326345	107457844	CWF19L2
ENSG00000171053	q24.2	11	125746279	125749867	PATE1
ENSG00000196844	q24.2	11	125776113	125778828	PATE2
ENSG00000121691	p13	11	34438934	34472060	CAT
ENSG00000236027	q24.2	11	125788127	125791600	PATE3
ENSG00000237353	q24.2	11	125833316	125840072	PATE4
ENSG00000198331	q24.2	11	125883614	125900648	HYLS1
ENSG00000110060	q24.2	11	125893485	125903221	PUS3
ENSG00000109832	q24.2	11	125903348	125943702	DDX25
ENSG00000135374	p13	11	34478793	34513805	ELF5
ENSG00000135373	p13	11	34621093	34661057	EHF
ENSG00000149089	p13	11	34853094	34916379	APIP
ENSG00000172932	q13.2	11	67288547	67302485	ANKRD13D
ENSG00000110435	p13	11	34915829	35020591	PDHX
ENSG00000136010	q23.3	12	105019784	105107643	ALDH1L2
ENSG00000151131	q23.3	12	104986316	105074197	C12orf45
ENSG00000136051	q23.3	12	105107324	105169134	WASHC4
ENSG00000136052	q23.3	12	104802553	104958744	SLC41A2
ENSG00000171310	q23.3	12	104455295	104762014	CHST11
ENSG00000255150	q23.3	12	104303739	104305205	EID3
ENSG00000198431	q23.3	12	104215779	104350307	TXNRD1
ENSG00000120837	q23.3	12	104117086	104138241	NFYB
ENSG00000111727	q23.3	12	104064531	104106524	HCFC2
ENSG00000120820	q23.3	12	103988984	104064183	GLT8D2
ENSG00000139372	q23.3	12	103965822	103988874	TDG
ENSG00000204954	q23.3	12	103940763	103965708	C12orf73
ENSG00000166598	q23.3	12	103930107	103953645	HSP90B1
ENSG00000111696	q23.3	12	103770453	103841234	NT5DC3
ENSG00000136011	q23.3	12	103587273	103766719	STAB2
ENSG00000179088	q23.2	12	103237591	103496010	C12orf42
ENSG00000139352	q23.2	12	102957674	102960513	ASCL1
ENSG00000171759	q23.2	12	102836889	102958410	PAH
ENSG00000185480	q23.2	12	102120185	102197520	PARPBP
ENSG00000017427	q23.2	12	102395874	102481744	IGF1
ENSG00000183395	q23.2	12	102196459	102197833	PMCH
ENSG00000075188	q23.2	12	102073103	102120120	NUP37
ENSG00000120860	q23.2	12	102012840	102062149	WASHC3
ENSG00000136048	q23.2	12	101877580	102012130	DRAM1
ENSG00000111670	q23.2	12	101745499	101830959	GNPTAB
ENSG00000111666	q23.2	12	101696947	101744140	CHPT1
ENSG00000139351	q23.2	12	101728648	101739472	SYCP3
ENSG00000060237	p13.33	12	752579	911452	WNK1
ENSG00000002016	p13.33	12	911736	990053	RAD52
ENSG00000082805	p13.33	12	990509	1495933	ERC1
ENSG00000120645	p13.33	12	66767	178455	IQSEC3
ENSG00000111181	p13.33	12	190077	214570	SLC6A12
ENSG00000111186	p13.33	12	1529891	1647212	WNT5B
ENSG00000171823	p13.33	12	1565993	1594581	FBXL14
ENSG00000006831	p13.33	12	1688574	1788674	ADIPOR2
ENSG00000010379	p13.33	12	220621	262873	SLC6A13
ENSG00000073614	p13.33	12	280057	389320	KDM5A
ENSG00000120647	p13.33	12	389273	442642	CCDC77
ENSG00000053702	p13.33	12	2825348	2835544	NRIP2
ENSG00000111203	p13.33	12	2812622	2859791	ITFG2
ENSG00000004478	p13.33	12	2794970	2805423	FKBP4
ENSG00000151067	p13.33	12	1970786	2697950	CACNA1C
ENSG00000111667	p13.31	12	6852128	6866632	USP5
ENSG00000139044	p13.33	12	459939	563509	B4GALNT3
ENSG00000111371	q13.11	12	46183063	46270017	SLC38A1
ENSG00000111669	p13.31	12	6867119	6870948	TPI1
ENSG00000111671	p13.31	12	6870935	6889358	SPSB2
ENSG00000111674	p13.31	12	6913745	6923698	ENO2
ENSG00000010626	p13.31	12	6873569	6914241	LRRC23
ENSG00000171840	p13.33	12	564296	663779	NINJ2
ENSG00000134294	q13.11	12	46358188	46372773	SLC38A2
ENSG00000284730	q13.13	12	51813940	51814926	C12orf81
ENSG00000261308	q13.13	12	51817840	51848766	FIGNL2
ENSG00000139209	q13.11	12	46764761	46832408	SLC38A4
ENSG00000167612	q13.13	12	51888009	51891727	ANKRD33
ENSG00000139567	q13.13	12	51906908	51923361	ACVRL1
ENSG00000135503	q13.13	12	51951699	51997078	ACVR1B
ENSG00000179715	q13.11	12	47079603	47236662	PCED1B
ENSG00000139211	q13.11	12	47075707	47079951	AMIGO2
ENSG00000111644	p13.31	12	6638075	6647433	ACRBP
ENSG00000184574	p13.31	12	6618835	6635960	LPAR5
ENSG00000161835	q13.13	12	52006946	52015889	GRASP
ENSG00000123358	q13.13	12	52022832	52059507	NR4A1
ENSG00000111676	p13.31	12	6924463	6942321	ATN1
ENSG00000111678	p13.31	12	6942978	6946003	C12orf57
ENSG00000005175	q13.11	12	47661249	47706030	RPAP3
ENSG00000284791	q13.13	12	52079696	52108239	SMIM41
ENSG00000123395	q13.13	12	52069246	52077494	ATG101
ENSG00000151065	p13.33	12	1946053	2004535	DCP1B
ENSG00000111206	p13.33	12	2857681	2877155	FOXM1
ENSG00000167767	q13.13	12	52168996	52192014	KRT80
ENSG00000171792	p13.33	12	2876258	2889524	RHNO1
ENSG00000061273	q13.11	12	47782722	47833132	HDAC7
ENSG00000078246	p13.33	12	2877223	2941138	TULP3
ENSG00000283297	p13.33	12	2849046	2857039	TEX52
ENSG00000079337	q13.11	12	47734363	47771040	RAPGEF3
ENSG00000165966	q12	12	41188320	41574745	PDZRN4
ENSG00000170442	q13.13	12	52249300	52309163	KRT86
ENSG00000135480	q13.13	12	52232520	52252186	KRT7
ENSG00000111405	q13.11	12	47709734	47725567	ENDOU
ENSG00000205426	q13.13	12	52285913	52291534	KRT81
ENSG00000211584	q13.11	12	47753916	47782751	SLC48A1
ENSG00000151233	q12	12	42081845	42144874	GXYLT1
ENSG00000215009	p13.31	12	7304284	7328724	ACSM4
ENSG00000111653	p13.31	12	6650301	6663142	ING4
ENSG00000177981	q13.11	12	48147789	48181213	ASB8
ENSG00000151062	p13.33	12	1791963	1918666	CACNA2D4
ENSG00000135404	q13.2	12	55725323	55729707	CD63
ENSG00000177575	p13.31	12	7470813	7503893	CD163
ENSG00000177675	p13.31	12	7346685	7479897	CD163L1
ENSG00000136044	q23.3	12	105173297	105236203	APPL2
ENSG00000235162	q23.3	12	105235290	105396097	C12orf75
ENSG00000166159	p13.33	12	1820267	1836753	LRTM2
ENSG00000061794	p11.22	12	27710822	27756295	MRPS35
ENSG00000170523	q13.13	12	52314301	52321398	KRT83
ENSG00000174236	p11.22	12	27696447	27697596	REP15
ENSG00000074590	q23.3	12	106063340	106140033	NUAK1
ENSG00000166046	q23.3	12	106301929	106347003	TCP11L2
ENSG00000126746	p13.31	12	6666477	6689572	ZNF384
ENSG00000205693	p11.22	12	27762738	27771276	MANSC4
ENSG00000136026	q23.3	12	106237881	106304279	CKAP4
ENSG00000135443	q13.13	12	52360006	52367481	KRT85
ENSG00000123353	q13.2	12	55818041	55821879	ORMDL2
ENSG00000161850	q13.13	12	52393931	52406355	KRT82
ENSG00000161849	q13.13	12	52377812	52385652	KRT84
ENSG00000123342	q13.2	12	55835433	55842966	MMP19
ENSG00000205323	q13.2	12	55752463	55817724	SARNP
ENSG00000170454	q13.13	12	52424070	52434371	KRT75
ENSG00000087448	p11.22	12	27780048	27803040	KLHL42
ENSG00000087494	p11.22	12	27958084	27972733	PTHLH
ENSG00000135392	q13.2	12	55820960	55830824	DNAJC14
ENSG00000111783	q23.3	12	106582907	106762803	RFX4
ENSG00000135414	q13.2	12	55743122	55757264	GDF11
ENSG00000111785	q23.3	12	106774621	106889316	RIC8B
