Gene stable ID	Gene description	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	HGNC symbol
ENSG00000132950	zinc finger MYM-type containing 5 [Source:HGNC Symbol;Acc:HGNC:13029]	13	19823482	19863649	ZMYM5
ENSG00000102452	sodium leak channel, non-selective [Source:HGNC Symbol;Acc:HGNC:19082]	13	101053776	101416508	NALCN
ENSG00000121741	zinc finger MYM-type containing 2 [Source:HGNC Symbol;Acc:HGNC:12989]	13	19958670	20091829	ZMYM2
ENSG00000139832	RAB20, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:18260]	13	110523066	110561722	RAB20
ENSG00000213995	NAD(P)HX dehydratase [Source:HGNC Symbol;Acc:HGNC:25576]	13	110615460	110639993	NAXD
ENSG00000276644	dachshund family transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:2663]	13	71437966	71867204	DACH1
ENSG00000065150	importin 5 [Source:HGNC Symbol;Acc:HGNC:6402]	13	97953658	98024296	IPO5
ENSG00000121743	gap junction protein alpha 3 [Source:HGNC Symbol;Acc:HGNC:4277]	13	20138255	20161052	GJA3
ENSG00000083520	DIS3 homolog, exosome endoribonuclease and 3'-5' exoribonuclease [Source:HGNC Symbol;Acc:HGNC:20604]	13	72752169	72782096	DIS3
ENSG00000136122	BORA aurora kinase A activator [Source:HGNC Symbol;Acc:HGNC:24724]	13	72727749	72756198	BORA
ENSG00000165474	gap junction protein beta 2 [Source:HGNC Symbol;Acc:HGNC:4284]	13	20187463	20192938	GJB2
ENSG00000083535	progesterone immunomodulatory binding factor 1 [Source:HGNC Symbol;Acc:HGNC:23352]	13	72782133	73016461	PIBF1
ENSG00000102466	fibroblast growth factor 14 [Source:HGNC Symbol;Acc:HGNC:3671]	13	101710804	102402457	FGF14
ENSG00000198542	integrin subunit beta like 1 [Source:HGNC Symbol;Acc:HGNC:6164]	13	101452593	101720856	ITGBL1
ENSG00000204899	mitotic spindle organizing protein 1 [Source:HGNC Symbol;Acc:HGNC:33830]	13	72708367	72727629	MZT1
ENSG00000136144	RCC1 and BTB domain containing protein 1 [Source:HGNC Symbol;Acc:HGNC:18243]	13	49531946	49585558	RCBTB1
ENSG00000152213	ADP ribosylation factor like GTPase 11 [Source:HGNC Symbol;Acc:HGNC:24046]	13	49628507	49633872	ARL11
ENSG00000102699	poly(ADP-ribose) polymerase family member 4 [Source:HGNC Symbol;Acc:HGNC:271]	13	24420931	24512778	PARP4
ENSG00000123179	EBP like [Source:HGNC Symbol;Acc:HGNC:18061]	13	49660674	49691486	EBPL
ENSG00000102753	karyopherin subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:6396]	13	49699320	49792682	KPNA3
ENSG00000083642	PDS5 cohesin associated factor B [Source:HGNC Symbol;Acc:HGNC:20418]	13	32586452	32778019	PDS5B
ENSG00000134905	cysteinyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:25695]	13	110641412	110713603	CARS2
ENSG00000136141	leucine rich repeats and calponin homology domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20309]	13	46553168	46753040	LRCH1
ENSG00000153487	inhibitor of growth family member 1 [Source:HGNC Symbol;Acc:HGNC:6062]	13	110712736	110723339	ING1
ENSG00000121742	gap junction protein beta 6 [Source:HGNC Symbol;Acc:HGNC:4288]	13	20221962	20232365	GJB6
ENSG00000165475	crystallin lambda 1 [Source:HGNC Symbol;Acc:HGNC:18246]	13	20403666	20525873	CRYL1
ENSG00000123178	SPRY domain containing 7 [Source:HGNC Symbol;Acc:HGNC:14297]	13	49912702	49936490	SPRYD7
ENSG00000133116	klotho [Source:HGNC Symbol;Acc:HGNC:6344]	13	33016423	33066143	KL
ENSG00000139684	esterase D [Source:HGNC Symbol;Acc:HGNC:3465]	13	46771256	46797161	ESD
ENSG00000083544	tudor domain containing 3 [Source:HGNC Symbol;Acc:HGNC:20612]	13	60396457	60573878	TDRD3
ENSG00000075673	ATPase H+/K+ transporting non-gastric alpha2 subunit [Source:HGNC Symbol;Acc:HGNC:13816]	13	24680411	24712493	ATP12A
ENSG00000133121	StAR related lipid transfer domain containing 13 [Source:HGNC Symbol;Acc:HGNC:19164]	13	33103137	33350630	STARD13
ENSG00000136158	sprouty RTK signaling antagonist 2 [Source:HGNC Symbol;Acc:HGNC:11270]	13	80335976	80341126	SPRY2
ENSG00000102468	5-hydroxytryptamine receptor 2A [Source:HGNC Symbol;Acc:HGNC:5293]	13	46831550	46897076	HTR2A
ENSG00000132972	ring finger protein 17 [Source:HGNC Symbol;Acc:HGNC:10060]	13	24764169	24879921	RNF17
ENSG00000139797	ring finger protein 113B [Source:HGNC Symbol;Acc:HGNC:17267]	13	98175785	98177269	RNF113B
ENSG00000152767	FERM, ARH/RhoGEF and pleckstrin domain protein 1 [Source:HGNC Symbol;Acc:HGNC:3591]	13	98142562	98455176	FARP1
ENSG00000178235	SLIT and NTRK like family member 1 [Source:HGNC Symbol;Acc:HGNC:20297]	13	83877205	83882393	SLITRK1
ENSG00000102572	serine/threonine kinase 24 [Source:HGNC Symbol;Acc:HGNC:11403]	13	98445185	98577940	STK24
ENSG00000088448	ankyrin repeat domain 10 [Source:HGNC Symbol;Acc:HGNC:20265]	13	110878540	110915069	ANKRD10
ENSG00000136104	ribonuclease H2 subunit B [Source:HGNC Symbol;Acc:HGNC:25671]	13	50909678	51024120	RNASEH2B
ENSG00000102796	dehydrogenase/reductase 12 [Source:HGNC Symbol;Acc:HGNC:25832]	13	51767993	51804162	DHRS12
ENSG00000102606	Rho guanine nucleotide exchange factor 7 [Source:HGNC Symbol;Acc:HGNC:15607]	13	111114559	111305737	ARHGEF7
ENSG00000281106	transmembrane protein 272 [Source:HGNC Symbol;Acc:HGNC:26737]	13	51813347	51845177	TMEM272
ENSG00000139668	WD repeat and FYVE domain containing 2 [Source:HGNC Symbol;Acc:HGNC:20482]	13	51584455	51767709	WDFY2
ENSG00000151849	centromere protein J [Source:HGNC Symbol;Acc:HGNC:17272]	13	24882279	24922889	CENPJ
ENSG00000186047	deleted in lymphocytic leukemia 7 [Source:HGNC Symbol;Acc:HGNC:17567]	13	50519364	50843939	DLEU7
ENSG00000204977	tripartite motif containing 13 [Source:HGNC Symbol;Acc:HGNC:9976]	13	49995888	50020481	TRIM13
ENSG00000184564	SLIT and NTRK like family member 6 [Source:HGNC Symbol;Acc:HGNC:23503]	13	85792790	85806683	SLITRK6
ENSG00000285444	novel transcript	13	51763951	51845159	
ENSG00000165300	SLIT and NTRK like family member 5 [Source:HGNC Symbol;Acc:HGNC:20295]	13	87672615	87696272	SLITRK5
ENSG00000198553	potassium channel regulator [Source:HGNC Symbol;Acc:HGNC:18893]	13	50015254	50020922	KCNRG
ENSG00000102554	Kruppel like factor 5 [Source:HGNC Symbol;Acc:HGNC:6349]	13	73054976	73077541	KLF5
ENSG00000133119	replication factor C subunit 3 [Source:HGNC Symbol;Acc:HGNC:9971]	13	33818069	33966558	RFC3
ENSG00000118922	Kruppel like factor 12 [Source:HGNC Symbol;Acc:HGNC:6346]	13	73686089	73995056	KLF12
ENSG00000280165	protocadherin 20 [Source:HGNC Symbol;Acc:HGNC:14257]	13	61409685	61415522	PCDH20
ENSG00000197991	novel protein	13	61409858	61427849	
ENSG00000136143	succinate-CoA ligase ADP-forming beta subunit [Source:HGNC Symbol;Acc:HGNC:11448]	13	47745736	48037968	SUCLA2
ENSG00000136159	nudix hydrolase 15 [Source:HGNC Symbol;Acc:HGNC:23063]	13	48037726	48047221	NUDT15
ENSG00000136111	TBC1 domain family member 4 [Source:HGNC Symbol;Acc:HGNC:19165]	13	75283503	75482169	TBC1D4
ENSG00000151846	poly(A) binding protein cytoplasmic 3 [Source:HGNC Symbol;Acc:HGNC:8556]	13	25095868	25099254	PABPC3
ENSG00000165566	APC membrane recruitment protein 2 [Source:HGNC Symbol;Acc:HGNC:26360]	13	25161684	25172288	AMER2
ENSG00000139505	myotubularin related protein 6 [Source:HGNC Symbol;Acc:HGNC:7453]	13	25246201	25288009	MTMR6
ENSG00000123171	coiled-coil domain containing 70 [Source:HGNC Symbol;Acc:HGNC:25303]	13	51861981	51866232	CCDC70
ENSG00000136146	mediator complex subunit 4 [Source:HGNC Symbol;Acc:HGNC:17903]	13	48053323	48095131	MED4
ENSG00000237378	keratin-associated protein 21-1-like [Source:NCBI gene;Acc:112267897]	13	63746741	63751080	
ENSG00000188243	COMM domain containing 6 [Source:HGNC Symbol;Acc:HGNC:24015]	13	75525219	75549439	COMMD6
ENSG00000136156	integral membrane protein 2B [Source:HGNC Symbol;Acc:HGNC:6174]	13	48232612	48270357	ITM2B
ENSG00000139496	nucleoporin 58 [Source:HGNC Symbol;Acc:HGNC:20261]	13	25301556	25349800	NUP58
ENSG00000136153	LIM domain 7 [Source:HGNC Symbol;Acc:HGNC:6646]	13	75620434	75859870	LMO7
ENSG00000132932	ATPase phospholipid transporting 8A2 [Source:HGNC Symbol;Acc:HGNC:13533]	13	25371974	26025851	ATP8A2
ENSG00000118939	ubiquitin C-terminal hydrolase L3 [Source:HGNC Symbol;Acc:HGNC:12515]	13	75549480	75606020	UCHL3
ENSG00000285566	keratin-associated protein 21-1 [Source:NCBI gene;Acc:647264]	13	63832361	63833531	
ENSG00000180730	shisa family member 2 [Source:HGNC Symbol;Acc:HGNC:20366]	13	26044597	26051031	SHISA2
ENSG00000136161	RCC1 and BTB domain containing protein 2 [Source:HGNC Symbol;Acc:HGNC:1914]	13	48488959	48533256	RCBTB2
ENSG00000139679	lysophosphatidic acid receptor 6 [Source:HGNC Symbol;Acc:HGNC:15520]	13	48389567	48444704	LPAR6
ENSG00000139687	RB transcriptional corepressor 1 [Source:HGNC Symbol;Acc:HGNC:9884]	13	48303726	48599436	RB1
ENSG00000127870	ring finger protein 6 [Source:HGNC Symbol;Acc:HGNC:10069]	13	26132115	26222314	RNF6
ENSG00000132964	cyclin dependent kinase 8 [Source:HGNC Symbol;Acc:HGNC:1779]	13	26254104	26405238	CDK8
ENSG00000153495	testis expressed 29 [Source:HGNC Symbol;Acc:HGNC:20370]	13	111316184	111344249	TEX29
ENSG00000132970	WASP family member 3 [Source:HGNC Symbol;Acc:HGNC:12734]	13	26557683	26688948	WASF3
ENSG00000182968	SRY-box transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:11189]	13	112067149	112071706	SOX1
ENSG00000132975	G protein-coupled receptor 12 [Source:HGNC Symbol;Acc:HGNC:4466]	13	26755200	26760786	GPR12
ENSG00000152207	cysteinyl leukotriene receptor 2 [Source:HGNC Symbol;Acc:HGNC:18274]	13	48653711	48711226	CYSLTR2
ENSG00000152484	ubiquitin specific peptidase 12 [Source:HGNC Symbol;Acc:HGNC:20485]	13	27066156	27171811	USP12
ENSG00000102531	fibronectin type III domain containing 3A [Source:HGNC Symbol;Acc:HGNC:20296]	13	48975912	49209779	FNDC3A
ENSG00000102539	motilin receptor [Source:HGNC Symbol;Acc:HGNC:4495]	13	49220338	49222377	MLNR
ENSG00000122026	ribosomal protein L21 [Source:HGNC Symbol;Acc:HGNC:10313]	13	27251309	27256691	RPL21
ENSG00000122035	RAS like family 11 member A [Source:HGNC Symbol;Acc:HGNC:23802]	13	27270327	27273690	RASL11A
ENSG00000102543	cytidine and dCMP deaminase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20299]	13	49247925	49293485	CDADC1
ENSG00000102547	calcium binding protein 39 like [Source:HGNC Symbol;Acc:HGNC:20290]	13	49308650	49444064	CAB39L
ENSG00000122033	mitochondrial translational initiation factor 3 [Source:HGNC Symbol;Acc:HGNC:29788]	13	27435643	27450591	MTIF3
ENSG00000122034	general transcription factor IIIA [Source:HGNC Symbol;Acc:HGNC:4662]	13	27424619	27435823	GTF3A
ENSG00000139517	ligand of numb-protein X 2 [Source:HGNC Symbol;Acc:HGNC:20421]	13	27545913	27620529	LNX2
ENSG00000172915	neurobeachin [Source:HGNC Symbol;Acc:HGNC:7648]	13	34942287	35673022	NBEA
ENSG00000180660	mab-21 like 1 [Source:HGNC Symbol;Acc:HGNC:6757]	13	35473789	35476689	MAB21L1
ENSG00000186184	RNA polymerase I and III subunit D [Source:HGNC Symbol;Acc:HGNC:20422]	13	27620742	27744237	POLR1D
ENSG00000169840	GS homeobox 1 [Source:HGNC Symbol;Acc:HGNC:20374]	13	27792483	27794768	GSX1
ENSG00000139515	pancreatic and duodenal homeobox 1 [Source:HGNC Symbol;Acc:HGNC:6107]	13	27920000	27926313	PDX1
ENSG00000165556	caudal type homeobox 2 [Source:HGNC Symbol;Acc:HGNC:1806]	13	27960918	27969315	CDX2
ENSG00000183463	ureidoimidazoline (2-oxo-4-hydroxy-4-carboxy-5-) decarboxylase [Source:HGNC Symbol;Acc:HGNC:17785]	13	27977717	27988693	URAD
ENSG00000122025	fms related tyrosine kinase 3 [Source:HGNC Symbol;Acc:HGNC:3765]	13	28003274	28100592	FLT3
ENSG00000178695	potassium channel tetramerization domain containing 12 [Source:HGNC Symbol;Acc:HGNC:14678]	13	76880175	76886405	KCTD12
ENSG00000123191	ATPase copper transporting beta [Source:HGNC Symbol;Acc:HGNC:870]	13	51930436	52012125	ATP7B
ENSG00000102794	aconitate decarboxylase 1 [Source:HGNC Symbol;Acc:HGNC:33904]	13	76948511	76958638	ACOD1
ENSG00000133083	doublecortin like kinase 1 [Source:HGNC Symbol;Acc:HGNC:2700]	13	35768652	36131306	DCLK1
ENSG00000005810	MYC binding protein 2 [Source:HGNC Symbol;Acc:HGNC:23386]	13	77044657	77327094	MYCBP2
ENSG00000136169	SET domain bifurcated histone lysine methyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:20263]	13	49444374	49495003	SETDB2
ENSG00000283208	novel protein	13	76992078	77129589	
ENSG00000102805	CLN5 intracellular trafficking protein [Source:HGNC Symbol;Acc:HGNC:2076]	13	76990660	77019143	CLN5
ENSG00000005812	F-box and leucine rich repeat protein 3 [Source:HGNC Symbol;Acc:HGNC:13599]	13	76992598	77027195	FBXL3
ENSG00000250709	CCDC169-SOHLH2 readthrough [Source:HGNC Symbol;Acc:HGNC:38866]	13	36168794	36297842	CCDC169-SOHLH2
ENSG00000120669	spermatogenesis and oogenesis specific basic helix-loop-helix 2 [Source:HGNC Symbol;Acc:HGNC:26026]	13	36168217	36214588	SOHLH2
ENSG00000242715	coiled-coil domain containing 169 [Source:HGNC Symbol;Acc:HGNC:34361]	13	36222008	36297840	CCDC169
ENSG00000184226	protocadherin 9 [Source:HGNC Symbol;Acc:HGNC:8661]	13	66302834	67230445	PCDH9
ENSG00000136147	PHD finger protein 11 [Source:HGNC Symbol;Acc:HGNC:17024]	13	49495610	49528981	PHF11
ENSG00000133104	spartin [Source:HGNC Symbol;Acc:HGNC:18514]	13	36301638	36370180	SPART
ENSG00000133101	cyclin A1 [Source:HGNC Symbol;Acc:HGNC:1577]	13	36431520	36442870	CCNA1
ENSG00000180440	serine rich and transmembrane domain containing 1 [Source:HGNC Symbol;Acc:HGNC:33792]	13	36674020	36697839	SERTM1
ENSG00000133111	regulatory factor X associated protein [Source:HGNC Symbol;Acc:HGNC:9988]	13	36819224	36829104	RFXAP
ENSG00000120693	SMAD family member 9 [Source:HGNC Symbol;Acc:HGNC:6774]	13	36844831	36920765	SMAD9
ENSG00000120697	ALG5 dolichyl-phosphate beta-glucosyltransferase [Source:HGNC Symbol;Acc:HGNC:20266]	13	36949738	37000261	ALG5
ENSG00000120699	exosome component 8 [Source:HGNC Symbol;Acc:HGNC:17035]	13	36998816	37009614	EXOSC8
ENSG00000102710	SPT20 homolog, SAGA complex component [Source:HGNC Symbol;Acc:HGNC:20596]	13	37009312	37059713	SUPT20H
ENSG00000150361	kelch like family member 1 [Source:HGNC Symbol;Acc:HGNC:6352]	13	69700594	70108493	KLHL1
ENSG00000253797	UTP14C small subunit processome component [Source:HGNC Symbol;Acc:HGNC:20321]	13	52024691	52033600	UTP14C
ENSG00000253710	ALG11 alpha-1,2-mannosyltransferase [Source:HGNC Symbol;Acc:HGNC:32456]	13	52012398	52033600	ALG11
ENSG00000180138	casein kinase 1 alpha 1 like [Source:HGNC Symbol;Acc:HGNC:20289]	13	37103259	37105664	CSNK1A1L
ENSG00000100568	vesicle transport through interaction with t-SNAREs 1B [Source:HGNC Symbol;Acc:HGNC:17793]	14	67647085	67674820	VTI1B
ENSG00000081181	arginase 2 [Source:HGNC Symbol;Acc:HGNC:664]	14	67619920	67651708	ARG2
ENSG00000072042	retinol dehydrogenase 11 [Source:HGNC Symbol;Acc:HGNC:17964]	14	67676800	67695793	RDH11
ENSG00000258466	novel protein	14	67659820	67690367	
ENSG00000134001	eukaryotic translation initiation factor 2 subunit alpha [Source:HGNC Symbol;Acc:HGNC:3265]	14	67360328	67386516	EIF2S1
ENSG00000100558	pleckstrin 2 [Source:HGNC Symbol;Acc:HGNC:19238]	14	67386984	67412167	PLEK2
ENSG00000054690	pleckstrin homology, MyTH4 and FERM domain containing H1 [Source:HGNC Symbol;Acc:HGNC:17733]	14	67533290	67589612	PLEKHH1
ENSG00000198133	transmembrane protein 229B [Source:HGNC Symbol;Acc:HGNC:20130]	14	67447084	67533739	TMEM229B
ENSG00000100564	phosphatidylinositol glycan anchor biosynthesis class H [Source:HGNC Symbol;Acc:HGNC:8964]	14	67581955	67600286	PIGH
ENSG00000100554	ATPase H+ transporting V1 subunit D [Source:HGNC Symbol;Acc:HGNC:13527]	14	67294371	67360265	ATP6V1D
ENSG00000072415	membrane palmitoylated protein 5 [Source:HGNC Symbol;Acc:HGNC:18669]	14	67241342	67336061	MPP5
ENSG00000092094	O-sialoglycoprotein endopeptidase [Source:HGNC Symbol;Acc:HGNC:18028]	14	20446401	20455089	OSGEP
ENSG00000087299	L-2-hydroxyglutarate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:20499]	14	50237563	50312229	L2HGDH
ENSG00000100490	cyclin dependent kinase like 1 [Source:HGNC Symbol;Acc:HGNC:1781]	14	50329404	50416461	CDKL1
ENSG00000165943	modulator of apoptosis 1 [Source:HGNC Symbol;Acc:HGNC:16658]	14	93182199	93184923	MOAP1
ENSG00000125375	distal membrane arm assembly complex 2 like [Source:HGNC Symbol;Acc:HGNC:18799]	14	50312324	50335558	DMAC2L
ENSG00000211448	iodothyronine deiodinase 2 [Source:HGNC Symbol;Acc:HGNC:2884]	14	80197527	80387757	DIO2
ENSG00000119630	placental growth factor [Source:HGNC Symbol;Acc:HGNC:8893]	14	74941834	74955626	PGF
ENSG00000012963	ubiquitin protein ligase E3 component n-recognin 7 (putative) [Source:HGNC Symbol;Acc:HGNC:20344]	14	93207241	93229215	UBR7
ENSG00000259066	novel protein	14	93184973	93218586	
ENSG00000153485	transmembrane protein 251 [Source:HGNC Symbol;Acc:HGNC:20218]	14	93184951	93187089	TMEM251
ENSG00000170270	GON7 subunit of KEOPS complex [Source:HGNC Symbol;Acc:HGNC:20356]	14	93202894	93207065	GON7
ENSG00000133943	D-glutamate cyclase [Source:HGNC Symbol;Acc:HGNC:20498]	14	91060333	91225632	DGLUCY
ENSG00000032219	AT-rich interaction domain 4A [Source:HGNC Symbol;Acc:HGNC:9885]	14	58298504	58373887	ARID4A
ENSG00000119718	eukaryotic translation initiation factor 2B subunit beta [Source:HGNC Symbol;Acc:HGNC:3258]	14	75002921	75012366	EIF2B2
ENSG00000182400	trafficking protein particle complex 6B [Source:HGNC Symbol;Acc:HGNC:23066]	14	39147811	39170532	TRAPPC6B
ENSG00000100941	pinin, desmosome associated protein [Source:HGNC Symbol;Acc:HGNC:9162]	14	39175183	39183220	PNN
ENSG00000198604	bromodomain adjacent to zinc finger domain 1A [Source:HGNC Symbol;Acc:HGNC:960]	14	34752731	34875647	BAZ1A
ENSG00000185215	TNF alpha induced protein 2 [Source:HGNC Symbol;Acc:HGNC:11895]	14	103123442	103137439	TNFAIP2
ENSG00000165409	thyroid stimulating hormone receptor [Source:HGNC Symbol;Acc:HGNC:12373]	14	80954989	81146302	TSHR
ENSG00000100784	ribosomal protein S6 kinase A5 [Source:HGNC Symbol;Acc:HGNC:10434]	14	90847861	91060641	RPS6KA5
ENSG00000100629	centrosomal protein 128 [Source:HGNC Symbol;Acc:HGNC:20359]	14	80476983	80959517	CEP128
ENSG00000100578	KIAA0586 [Source:HGNC Symbol;Acc:HGNC:19960]	14	58427385	58551297	KIAA0586
ENSG00000011114	BTB domain containing 7 [Source:HGNC Symbol;Acc:HGNC:18269]	14	93237550	93333092	BTBD7
ENSG00000100575	translocase of inner mitochondrial membrane 9 [Source:HGNC Symbol;Acc:HGNC:11819]	14	58408495	58427531	TIMM9
ENSG00000196860	translocase of outer mitochondrial membrane 20 like [Source:HGNC Symbol;Acc:HGNC:33752]	14	58395928	58408702	TOMM20L
ENSG00000100883	signal recognition particle 54 [Source:HGNC Symbol;Acc:HGNC:11301]	14	34981957	35029567	SRP54
ENSG00000151748	salvador family WW domain containing protein 1 [Source:HGNC Symbol;Acc:HGNC:17795]	14	50632058	50668306	SAV1
ENSG00000198513	atlastin GTPase 1 [Source:HGNC Symbol;Acc:HGNC:11231]	14	50532509	50633068	ATL1
ENSG00000012983	mitogen-activated protein kinase kinase kinase kinase 5 [Source:HGNC Symbol;Acc:HGNC:6867]	14	50418501	50561126	MAP4K5
ENSG00000119684	mutL homolog 3 [Source:HGNC Symbol;Acc:HGNC:7128]	14	75013764	75051532	MLH3
ENSG00000119638	NIMA related kinase 9 [Source:HGNC Symbol;Acc:HGNC:18591]	14	75079353	75127344	NEK9
ENSG00000119703	zinc finger C2HC-type containing 1C [Source:HGNC Symbol;Acc:HGNC:20354]	14	75064170	75079988	ZC2HC1C
ENSG00000165417	general transcription factor IIA subunit 1 [Source:HGNC Symbol;Acc:HGNC:4646]	14	81175452	81221377	GTF2A1
ENSG00000066427	ataxin 3 [Source:HGNC Symbol;Acc:HGNC:7106]	14	92044496	92106621	ATXN3
ENSG00000170348	transmembrane p24 trafficking protein 10 [Source:HGNC Symbol;Acc:HGNC:16998]	14	75131469	75176612	TMED10
ENSG00000119640	acylphosphatase 1 [Source:HGNC Symbol;Acc:HGNC:179]	14	75053237	75069483	ACYP1
ENSG00000179627	zinc finger and BTB domain containing 42 [Source:HGNC Symbol;Acc:HGNC:32550]	14	104800596	104804712	ZBTB42
ENSG00000100802	chromosome 14 open reading frame 93 [Source:HGNC Symbol;Acc:HGNC:20162]	14	22985894	23010166	C14orf93
ENSG00000100697	dicer 1, ribonuclease III [Source:HGNC Symbol;Acc:HGNC:17098]	14	95086228	95158010	DICER1
ENSG00000140022	stonin 2 [Source:HGNC Symbol;Acc:HGNC:30652]	14	81260656	81436465	STON2
ENSG00000100902	proteasome subunit alpha 6 [Source:HGNC Symbol;Acc:HGNC:9535]	14	35278633	35317493	PSMA6
ENSG00000100968	nuclear factor of activated T cells 4 [Source:HGNC Symbol;Acc:HGNC:7778]	14	24365673	24379604	NFATC4
ENSG00000092020	protein phosphatase 2 regulatory subunit B''gamma [Source:HGNC Symbol;Acc:HGNC:17485]	14	35085467	35122517	PPP2R3C
ENSG00000170345	Fos proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3796]	14	75278826	75282230	FOS
ENSG00000258790	novel transcript	14	35122549	35317474	
ENSG00000151327	family with sequence similarity 177 member A1 [Source:HGNC Symbol;Acc:HGNC:19829]	14	35044907	35113130	FAM177A1
ENSG00000100890	protein only RNase P catalytic subunit [Source:HGNC Symbol;Acc:HGNC:19958]	14	35121846	35277622	PRORP
ENSG00000071537	SEL1L adaptor subunit of ERAD E3 ubiquitin ligase [Source:HGNC Symbol;Acc:HGNC:10717]	14	81471547	81533853	SEL1L
ENSG00000100823	apurinic/apyrimidinic endodeoxyribonuclease 1 [Source:HGNC Symbol;Acc:HGNC:587]	14	20455191	20457772	APEX1
ENSG00000140044	Jun dimerization protein 2 [Source:HGNC Symbol;Acc:HGNC:17546]	14	75427716	75474111	JDP2
ENSG00000156127	basic leucine zipper ATF-like transcription factor [Source:HGNC Symbol;Acc:HGNC:958]	14	75522455	75547004	BATF
ENSG00000165782	phosphatidylinositol-4,5-bisphosphate 4-phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:19299]	14	20457719	20461612	PIP4P1
ENSG00000133935	ergosterol biosynthesis 28 homolog [Source:HGNC Symbol;Acc:HGNC:1187]	14	75649791	75660876	ERG28
ENSG00000119699	transforming growth factor beta 3 [Source:HGNC Symbol;Acc:HGNC:11769]	14	75958099	75982991	TGFB3
ENSG00000119650	intraflagellar transport 43 [Source:HGNC Symbol;Acc:HGNC:29669]	14	75902136	76084585	IFT43
ENSG00000100804	proteasome subunit beta 5 [Source:HGNC Symbol;Acc:HGNC:9542]	14	23016543	23035230	PSMB5
ENSG00000119686	feline leukemia virus subgroup C cellular receptor family member 2 [Source:HGNC Symbol;Acc:HGNC:20105]	14	75578620	75663214	FLVCR2
ENSG00000222028	proteasome subunit beta 11 [Source:HGNC Symbol;Acc:HGNC:31963]	14	23042212	23044060	PSMB11
ENSG00000150527	MIA SH3 domain ER export factor 2 [Source:HGNC Symbol;Acc:HGNC:18432]	14	39230231	39388513	MIA2
ENSG00000139880	cadherin 24 [Source:HGNC Symbol;Acc:HGNC:14265]	14	23047062	23057538	CDH24
ENSG00000119685	tubulin tyrosine ligase like 5 [Source:HGNC Symbol;Acc:HGNC:19963]	14	75633625	75955079	TTLL5
ENSG00000133958	unc-79 homolog, NALCN channel complex subunit [Source:HGNC Symbol;Acc:HGNC:19966]	14	93333219	93707876	UNC79
ENSG00000187581	cytochrome c oxidase subunit 8C [Source:HGNC Symbol;Acc:HGNC:24382]	14	93347182	93348356	COX8C
ENSG00000100664	eukaryotic translation initiation factor 5 [Source:HGNC Symbol;Acc:HGNC:3299]	14	103333544	103345025	EIF5
ENSG00000185070	fibronectin leucine rich transmembrane protein 2 [Source:HGNC Symbol;Acc:HGNC:3761]	14	85530144	85654428	FLRT2
ENSG00000165959	calmin [Source:HGNC Symbol;Acc:HGNC:19972]	14	95181940	95319908	CLMN
ENSG00000165821	spalt like transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:10526]	14	21521080	21537216	SALL2
ENSG00000099814	centrosomal protein 170B [Source:HGNC Symbol;Acc:HGNC:20362]	14	104865268	104896770	CEP170B
ENSG00000176438	spectrin repeat containing nuclear envelope family member 3 [Source:HGNC Symbol;Acc:HGNC:19861]	14	95407266	95475836	SYNE3
ENSG00000100908	ER membrane protein complex subunit 9 [Source:HGNC Symbol;Acc:HGNC:20273]	14	24138959	24141591	EMC9
ENSG00000092010	proteasome activator subunit 1 [Source:HGNC Symbol;Acc:HGNC:9568]	14	24136163	24138967	PSME1
ENSG00000175785	proline rich membrane anchor 1 [Source:HGNC Symbol;Acc:HGNC:18319]	14	93718298	93788485	PRIMA1
ENSG00000140067	family with sequence similarity 181 member A [Source:HGNC Symbol;Acc:HGNC:20491]	14	93918894	93929608	FAM181A
ENSG00000100628	ankyrin repeat and SOCS box containing 2 [Source:HGNC Symbol;Acc:HGNC:16012]	14	93934166	93976739	ASB2
ENSG00000054983	galactosylceramidase [Source:HGNC Symbol;Acc:HGNC:4115]	14	87837820	87993665	GALC
ENSG00000100503	ninein [Source:HGNC Symbol;Acc:HGNC:14906]	14	50719763	50831121	NIN
ENSG00000175699	coiled-coil domain containing 197 [Source:HGNC Symbol;Acc:HGNC:19860]	14	93987225	94008863	CCDC197
ENSG00000089723	OTU deubiquitinase, ubiquitin aldehyde binding 2 [Source:HGNC Symbol;Acc:HGNC:20351]	14	94026340	94048930	OTUB2
ENSG00000089737	DEAD-box helicase 24 [Source:HGNC Symbol;Acc:HGNC:13266]	14	94048287	94081212	DDX24
